GeneSymbol,Subcellular_location
CFAP300,Cytoplasm
ADH1A,Cytoplasm
ZCCHC3,Cytoplasm
OR52K2,Cell membrane
EEA1,Cytoplasm
PCK1,Cytoplasm
CRY2,Cytoplasm
MAST3,Cytoplasm
DDX5,Nucleus
RBMX2,Nucleus
ELP5,Nucleus
ZNHIT1,Nucleus
GDPD1,Cytoplasm
STYX,Nucleus
AP2A1,Cell membrane
BHLHA15,Nucleus
PDPK1,Cytoplasm
OR52R1,Cell membrane
H2AJ,Nucleus
DND1,Nucleus
PRDM6,Nucleus
KIF2B,Cytoplasm
LARP4B,Cytoplasm
DLC1,Cytoplasm
DGKA,Cytoplasm
KMT2D,Nucleus
OR6C4,Cell membrane
IL37,Cytoplasm
ZNF446,Nucleus
FABP2,Cytoplasm
RPS2,Cytoplasm
SLAMF1,Cell membrane
ARAP1,Cytoplasm
FCGR2C,Cell membrane
CSK,Cytoplasm
CD81,Cell membrane
HLA-DRB5,Cell membrane
ARHGAP18,Cytoplasm
EIF5A2,Cytoplasm
POLR2B,Nucleus
PTPRS,Cell membrane
BRCA2,Nucleus
CTSG,Cell membrane
SGK1,Cell membrane
CDC42BPG,Cytoplasm
DCUN1D3,Cell membrane
PRKRA,Cytoplasm
DLGAP3,Cell membrane
CENPL,Nucleus
RAD21,Cytoplasm
RBM7,Nucleus
SDCBP2,Cytoplasm
RAB5B,Cell membrane
PPP4C,Cytoplasm
RARG,Nucleus
CCDC14,Cytoplasm
RBBP4,Nucleus
IL9R,Cell membrane
ANO3,Cell membrane
INO80B,Nucleus
SLC14A1,Cell membrane
GNG5,Cell membrane
PTPN11,Cytoplasm
POLR3GL,Nucleus
NPY1R,Cell membrane
STAT4,Cytoplasm
RTN4R,Cell membrane
CEP63,Cytoplasm
FBXO4,Cytoplasm
H1-7,Nucleus
CDV3,Cytoplasm
ZNF48,Nucleus
GPR173,Cell membrane
ZNF830,Nucleus
RBBP7,Nucleus
CDC27,Nucleus
TDRD6,Cytoplasm
NSD2,Cytoplasm
MAPKAP1,Cell membrane
KCNQ2,Cell membrane
SERGEF,Cytoplasm
GSDME,Cytoplasm
UBA52,Cytoplasm
ALPP,Cell membrane
ZNF746,Cytoplasm
CENPX,Nucleus
HBS1L,Cytoplasm
COL13A1,Cell membrane
SPRED1,Cell membrane
ADD3,Cytoplasm
PLXND1,Cell membrane
CASKIN1,Cytoplasm
IQCB1,Cytoplasm
EZHIP,Nucleus
PRPF6,Nucleus
RXFP1,Cell membrane
CARD11,Cytoplasm
CAMSAP3,Cytoplasm
PCDHB10,Cell membrane
GPR22,Cell membrane
ZNF99,Nucleus
PADI6,Cytoplasm
RHOG,Cell membrane
RPS15A,Cytoplasm
ASIC1,Cell membrane
SPATS2L,Cytoplasm
RNF114,Cytoplasm
RBP7,Cytoplasm
RFX6,Nucleus
CIZ1,Nucleus
SMTN,Cytoplasm
GPR39,Cell membrane
BEGAIN,Cytoplasm
STXBP5L,Cytoplasm
GPER1,Nucleus
ERCC4,Nucleus
EPB41L2,Cytoplasm
SETMAR,Nucleus
RPS11,Cytoplasm
FRK,Cytoplasm
MYEF2,Nucleus
HTR2B,Cell membrane
SRP14,Cytoplasm
GLI3,Nucleus
ODF3,Cytoplasm
GTF3C1,Nucleus
KCTD13,Nucleus
DIXDC1,Cytoplasm
SLC17A3,Cell membrane
IKBKE,Cytoplasm
TEX10,Nucleus
LARP7,Nucleus
AFAP1L1,Cytoplasm
DESI1,Cytoplasm
INO80D,Nucleus
SLC4A11,Cell membrane
WNK2,Cytoplasm
PPIL4,Nucleus
HSPA8,Cytoplasm
PRDX1,Cytoplasm
MAPK14,Cytoplasm
ZNF30,Nucleus
SLC22A17,Cell membrane
ELF3,Cytoplasm
DES,Cytoplasm
QARS1,Cytoplasm
PPP1R14B,Cytoplasm
ZFP36L2,Nucleus
ZC3H14,Cytoplasm
LRATD1,Cytoplasm
ZNF274,Cytoplasm
ZNF587,Nucleus
HSPB7,Cytoplasm
MVB12A,Cytoplasm
PRMT7,Cytoplasm
NELFE,Nucleus
OR1D2,Cell membrane
RALB,Cell membrane
BLOC1S2,Cytoplasm
OR2T29,Cell membrane
OR51G2,Cell membrane
ZNF284,Nucleus
OR8J1,Cell membrane
ZNF564,Nucleus
HLA-DRA,Cell membrane
PTGFR,Cell membrane
RASD1,Cell membrane
CELF2,Nucleus
GMPPA,Cytoplasm
OR8B4,Cell membrane
OR2I1P,Cell membrane
HLTF,Cytoplasm
PCNP,Nucleus
SAP25,Nucleus
DEK,Nucleus
CPNE6,Cytoplasm
HMG20A,Nucleus
PPP6R3,Cytoplasm
TMEM117,Cell membrane
HMGN1,Nucleus
GSTM1,Cytoplasm
TRAPPC2,Cytoplasm
OR11A1,Cell membrane
ZNF414,Nucleus
MFAP3,Cell membrane
SESN1,Nucleus
SNRPD1,Cytoplasm
TCOF1,Nucleus
WBP4,Nucleus
C11orf54,Nucleus
BMPR2,Cell membrane
FCGR2B,Cell membrane
CDK9,Nucleus
PCGF6,Nucleus
USP26,Nucleus
MTNR1A,Cell membrane
TNKS,Cytoplasm
MSC,Nucleus
GRB7,Cytoplasm
TRIM29,Cytoplasm
DAPK1,Cytoplasm
GTPBP4,Nucleus
PTPA,Cytoplasm
COPRS,Nucleus
OR4K5,Cell membrane
CIC,Nucleus
NRBP1,Cytoplasm
SETD6,Nucleus
ASCC2,Nucleus
KDM2B,Nucleus
ZHX2,Nucleus
STIM1,Cell membrane
FOXR2,Nucleus
PML,Nucleus
FCRL3,Cell membrane
ING4,Nucleus
ZNF629,Nucleus
ARID4A,Nucleus
GRHL3,Nucleus
ACOT1,Cytoplasm
NQO1,Cytoplasm
MPP3,Cell membrane
CERK,Cytoplasm
GAB2,Cytoplasm
OXER1,Cell membrane
ANKFY1,Cytoplasm
NIPA2,Cell membrane
CENPO,Nucleus
KMT5A,Nucleus
BDP1,Nucleus
RPL24,Cytoplasm
MAPRE3,Cytoplasm
NEIL1,Cytoplasm
NHERF4,Cell membrane
ARHGAP39,Nucleus
ATP10D,Cell membrane
SNCG,Cytoplasm
NUFIP1,Nucleus
FEV,Nucleus
ZNF835,Nucleus
MARK4,Cytoplasm
EIF3D,Cytoplasm
KDM2A,Nucleus
ZNF469,Nucleus
PLCB3,Cytoplasm
HLA-DQA2,Cell membrane
PHOX2B,Nucleus
OR2T35,Cell membrane
RAB3GAP1,Cytoplasm
GPR83,Cell membrane
RFC2,Nucleus
ZNF592,Nucleus
TBCE,Cytoplasm
TNKS1BP1,Nucleus
ENGASE,Cytoplasm
SNRNP27,Nucleus
FTSJ3,Nucleus
NLK,Nucleus
ZNF703,Nucleus
SMAD9,Cytoplasm
RRM2,Cytoplasm
RELL1,Cell membrane
SMAP1,Cell membrane
TENT4A,Cytoplasm
ZNF541,Nucleus
GON7,Nucleus
AARS1,Cytoplasm
ZNF784,Nucleus
UBXN1,Cytoplasm
SMAD2,Cytoplasm
HMGCS1,Cytoplasm
ZNF417,Nucleus
SIX1,Nucleus
ISG15,Cytoplasm
HSFY2,Nucleus
AK5,Cytoplasm
RRP8,Nucleus
ZNF518A,Nucleus
FFAR3,Cell membrane
PLP1,Cell membrane
CATIP,Nucleus
NARF,Nucleus
FOLR2,Cell membrane
OR10J4,Cell membrane
AS3MT,Cytoplasm
RPL7A,Cytoplasm
HLCS,Cytoplasm
GRM7,Cell membrane
H2BC1,Nucleus
HPCA,Cytoplasm
EIF2D,Cytoplasm
REL,Nucleus
BEST1,Cell membrane
ACTMAP,Cytoplasm
OR2A14,Cell membrane
RTEL1,Nucleus
USP39,Nucleus
UNC45A,Cytoplasm
ENAH,Cytoplasm
PHACTR1,Cytoplasm
BHLHE41,Nucleus
TMEM119,Cell membrane
SP140,Nucleus
ZNF805,Nucleus
PELO,Cytoplasm
CABIN1,Nucleus
ALOXE3,Cytoplasm
ELF1,Nucleus
CCDC65,Cytoplasm
TCF23,Nucleus
PEX5L,Cytoplasm
XBP1,Cytoplasm
SND1,Cytoplasm
AATF,Nucleus
HMX1,Nucleus
PCDH20,Cell membrane
MTHFS,Cytoplasm
ULBP1,Cell membrane
TCERG1,Nucleus
L3MBTL1,Nucleus
CSE1L,Cytoplasm
PRDM1,Nucleus
RAP1A,Cell membrane
OR2J1,Cell membrane
NUDT16L1,Nucleus
PRDX6,Cytoplasm
CLK1,Nucleus
SMAD6,Nucleus
HNRNPL,Nucleus
ATR,Nucleus
CAMSAP1,Cytoplasm
GPR6,Cell membrane
WHAMM,Cytoplasm
VN1R4,Cell membrane
ZNF493,Nucleus
RAN,Nucleus
PPM1G,Cytoplasm
NPAS4,Nucleus
MED16,Nucleus
INTS8,Nucleus
ARAP3,Cytoplasm
ILKAP,Cytoplasm
ZNF131,Nucleus
PID1,Cytoplasm
BRD8,Nucleus
GIPR,Cell membrane
PPARA,Nucleus
ZMIZ2,Nucleus
EIF4A3,Nucleus
TOPAZ1,Cytoplasm
EMG1,Nucleus
SOX18,Nucleus
MARS1,Cytoplasm
SMYD2,Cytoplasm
PLCXD2,Nucleus
MPP1,Cell membrane
OR4K1,Cell membrane
SLC40A1,Cell membrane
ADGRB2,Cell membrane
OR2M2,Cell membrane
FAM124B,Nucleus
TRPC5,Cell membrane
CDH3,Cell membrane
RRP36,Nucleus
KIR2DS2,Cell membrane
NACA2,Cytoplasm
PER3,Cytoplasm
AXL,Cell membrane
ALKBH2,Nucleus
PPP1R16B,Cell membrane
CYSLTR1,Cell membrane
KLHL40,Cytoplasm
AIFM1,Cytoplasm
XPNPEP2,Cell membrane
PCBP3,Cytoplasm
EEF1AKMT2,Cytoplasm
DYNC2I2,Cytoplasm
SIVA1,Cytoplasm
SMARCA1,Nucleus
GCGR,Cell membrane
FUS,Nucleus
TPRG1,Cytoplasm
PPP6R2,Cytoplasm
EFR3B,Cell membrane
FAXDC2,Cytoplasm
RTF1,Nucleus
TP53INP1,Cytoplasm
GNG7,Cell membrane
SF3B2,Nucleus
CDC16,Cytoplasm
RAD18,Nucleus
TELO2,Cytoplasm
MAGT1,Cell membrane
WWOX,Cytoplasm
SORCS2,Cell membrane
SCGN,Cytoplasm
TENT2,Cytoplasm
OR2T8,Cell membrane
CAMK1D,Cytoplasm
SPACA9,Cytoplasm
CD79B,Cell membrane
CEP41,Cytoplasm
ZMYM1,Nucleus
GRHL1,Nucleus
CCAR2,Nucleus
LIG1,Nucleus
PHF5A,Nucleus
ACTR3,Cytoplasm
FUZ,Cytoplasm
TUBB3,Cytoplasm
RPP14,Nucleus
SEPTIN6,Cytoplasm
ZNF232,Nucleus
RO60,Cytoplasm
EXOSC10,Cytoplasm
OR11G2,Cell membrane
CHRAC1,Nucleus
CAMSAP2,Cytoplasm
CNOT7,Nucleus
LSM14A,Cytoplasm
SPRR2F,Cytoplasm
POU3F4,Nucleus
DDX3X,Cell membrane
GPR62,Cell membrane
YJU2B,Nucleus
KCNJ4,Cell membrane
ZBTB4,Nucleus
CHRDL2,Cytoplasm
ZNF580,Nucleus
BDKRB1,Cell membrane
KIN,Nucleus
CALM3,Cytoplasm
DOCK1,Cytoplasm
PTGDR2,Cell membrane
CENPW,Nucleus
RAB9A,Cell membrane
PLAGL1,Nucleus
HOMER2,Cytoplasm
RNF212,Nucleus
CYBRD1,Cell membrane
MBNL3,Nucleus
TENT5C,Nucleus
FABP7,Cytoplasm
ZNF700,Nucleus
TARBP2,Cytoplasm
SUGP2,Nucleus
CDC42,Cell membrane
H2BC6,Nucleus
PACSIN1,Cytoplasm
UTP4,Nucleus
NPEPPS,Cytoplasm
RBM47,Nucleus
DUSP7,Cytoplasm
HOXA11,Nucleus
ZNF320,Nucleus
LTV1,Cytoplasm
MRGBP,Nucleus
OR52E6,Cell membrane
PPP4R2,Cytoplasm
ZNG1B,Nucleus
ORAI1,Cell membrane
NMI,Cytoplasm
BFSP1,Cell membrane
YWHAQ,Cytoplasm
PDE4A,Cytoplasm
ALDH8A1,Cytoplasm
SH2B1,Cytoplasm
NMBR,Cell membrane
EZH2,Nucleus
C1D,Nucleus
CD55,Cell membrane
KDM5C,Nucleus
EIF2AK4,Cytoplasm
SIAH1,Cytoplasm
ZNF750,Nucleus
FLII,Nucleus
PSD3,Cell membrane
BBS9,Cytoplasm
METAP2,Cytoplasm
KIR2DL1,Cell membrane
SRRT,Nucleus
SPANXA2,Cytoplasm
BRAF,Nucleus
SNRNP200,Nucleus
SGCG,Cell membrane
EHMT2,Nucleus
MKRN2,Cytoplasm
RASA2,Cytoplasm
CNKSR1,Cytoplasm
ADH6,Cytoplasm
IFT46,Cytoplasm
AK6,Nucleus
IPO9,Cytoplasm
MOG,Cell membrane
IMPA2,Cytoplasm
ADPRHL1,Cytoplasm
ERVK-25,Cell membrane
TSSK2,Cytoplasm
DPF3,Nucleus
CREB3L1,Nucleus
WNK1,Cytoplasm
CELF1,Nucleus
EPRS1,Cytoplasm
GCSAM,Cytoplasm
SPATC1,Cytoplasm
H3-7,Nucleus
CFAP73,Cytoplasm
AKT1S1,Cytoplasm
SLC12A9,Cell membrane
ANLN,Nucleus
SYCP2L,Nucleus
ULBP2,Cell membrane
TAF4,Nucleus
OR5W2,Cell membrane
SHANK1,Cytoplasm
SUV39H1,Nucleus
SHLD2,Nucleus
GPR35,Cell membrane
NINL,Cytoplasm
BAZ2B,Nucleus
ZC3HC1,Nucleus
RPS6KA6,Cytoplasm
RPRD1B,Nucleus
ENOX1,Cell membrane
RNF8,Nucleus
PDGFRA,Cell membrane
DAZAP1,Cytoplasm
RBM44,Cytoplasm
NEDD9,Cytoplasm
RBX1,Cytoplasm
CSPG5,Cell membrane
JAML,Cell membrane
RNPC3,Nucleus
TAPT1,Cytoplasm
ZNF260,Nucleus
OR8B2,Cell membrane
HEY2,Nucleus
ARIH2,Nucleus
CD4,Cell membrane
